,tweet_id,tweet_text,verifiable,false_info,interest_to_public,general_harm,attention_to_fact_check,verifiable_numeric,false_info_numeric,interest_to_public_numeric,general_harm_numeric,attention_to_fact_check_numeric
0,1368273275181207552,"The Senate just passed COVID relief.   ✔️ $1,400 relief checks. ✔️ Funding for vaccines. ✔️ Money to reopen schools. ✔️ Food, unemployment, and rental assistance. ✔️ Cutting child poverty in half. ✔️ Help for small businesses.   We must end this pandemic. And help is on the way.",1,0,1,0,1,0.32,0.08,0.35,0.84,0.62
1,1368830691300020224,All seven COVID-19 vaccines that have completed large efficacy clinical trials are very effective in preventing severe COVID. Not one vaccinated person has gotten sick enough to require hospitalization. Not a single vaccinated person has died of COVID-19. https://t.co/zBwyL880BZ,1,0,1,0,1,0.23,0.85,0.6,0.24,0.81
2,1367771405647933440,In India the vaccination program is progressing well with two indigenous vaccines Covishield and Covaxin. Sat-Bhakti given by @SaintRampalJiM is a well tested vaccine. #COVID19Vaccine #COVID19 #COVID_19 #COVIDVaccine https://t.co/bpHvMCxfOj,1,2,1,0,1,0.41,0.54,0.09,0.37,0.41
3,1354211785293745920,"Vaccines are here. But it's important that we continue to stay six feet away from others, wear masks, and avoid crowds to help slow the spread of COVID-19.",1,0,1,0,1,0.31,0.58,0.07,0.75,0.89
4,1369198771330904064,"McDonald's Philippines has purchased close to 100,000 doses of COVID-19 vaccines from AstraZeneca, as the fast-food chain operator said it plans to inoculate its employees for free. https://t.co/zG8pwZ8c1G",1,0,1,0,1,0.6,0.19,0.96,0.86,0.73
5,1369369392052637696,"The latest on vaccines: We received almost a million doses of COVID-19 vaccines last week - and we’re getting another million this week. Before the end of the month, we’ll have received a total of 8 million doses of COVID-19 vaccines for people across the country.",1,0,1,0,1,0.5,0.07,0.11,0.63,0.81
6,1358119265774280704,#COVID19 vaccines are safe for people living with HIV! Find out about COVID-19 vaccines and HIV here 👇🏾,1,0,1,0,0,0.29,0.7,0.88,0.76,0.96
7,1367859250316378112,"Update on vaccines: @GovCanHealth has approved Janssen’s COVID-19 vaccine. This is the fourth vaccine to be deemed safe and effective by Canada’s health experts - and with millions of doses already secured, we’re one step closer to defeating this virus.",1,0,1,0,1,0.36,0.12,0.01,0.94,0.57
8,1368254297704595456,"We just passed a COVID-19 relief bill that will provide immediate support to Arizona working families and small businesses, help reopen schools safely, get vaccines into peoples’ arms, and get our economy back on track. https://t.co/tPGJ8MC5Td",1,0,1,0,1,0.02,0.7,0.84,0.86,0.42
9,1370487263558316032,"Federally funded health clinics are getting COVID vaccines to more people of color. ""These patients have built up trust with their doctor and nurses over years. They are now listening to the people they trust most to give them advice about the vaccine."" https://t.co/Xfj2eBah2G",1,0,1,0,1,0.4,1.0,0.75,0.23,0.08
10,1369877253849411584,"When every country was focusing to encash Covid Crises and was selling Medical Equipments, Masks, PPE Kits etc, India gave Covid Vaccines 'Free of Cost' to all neighboring counties. We are now set to fulfill 70% of world's Covid Vaccine needs. Proud To Born As An Indian 🇮🇳",1,0,1,0,1,0.76,0.33,0.22,0.04,0.25
11,1370092407920979968,"When you vaccinate basically the entire population, anything that happens to anyone will be called vaccine related - and it turns out to be nothing of the sort. The Covid vaccines are pretty much the safest intervention out there. Get yours as soon as you can. #VaccinesWork",1,0,1,0,1,0.67,0.66,0.89,0.8,0.45
12,1369993914216632320,"@rahulkanwal India Today and the BJP falsely claimed that India is providing COVID vaccines for the lowest cost to its citizens. However, in reality, India is the only country in the chart that has not pledged to provide free vaccination.  https://t.co/tjKRv3gYvd",1,0,1,0,1,0.85,0.26,0.57,0.35,0.02
13,1366179764017504256,Ginkgo Bioworks is working on optimizing the manufacturing process for RNA – the key ingredient in vaccines produced by Pfizer/BioNtech and Moderna. RNA instructs cells to produce proteins that trigger the body to fight the coronavirus. https://t.co/w7tcvlUjpz https://t.co/ZKpIY8Bwb8,1,0,1,0,1,0.59,0.66,0.43,0.19,0.86
14,1367882615496335104,"Covid-19 might be ending, but if Nigeria is not prepared for the next Pandemic.. We will beg for Vaccines again and the world might not be so generous. The fact intern Doctors have not been paid in 3 months is proof Nigeria has learnt nothing..",1,2,1,1,0,0.73,0.93,0.28,0.31,0.98
15,1368992496798273536,"First Week of COVID Experimental Vaccines in South Korea: 7 DEAD and More than 2,800 Injured https://t.co/MdwY1qD0yd https://t.co/Yo3ycHRH4D",1,1,1,1,0,0.57,0.54,0.78,0.93,0.49
16,1366472330025828352,"Ghana and Cote d'Ivoire have started vaccinating citizens against COVID-19. They join Guinea, Seychelles, Morocco, Egypt, Mauritius, Algeria, Rwanda, South Africa, Zimbabwe, Senegal on the list of African countries who have launched Coronavirus vaccines.",1,0,1,0,1,0.46,0.42,0.95,0.77,0.07
17,1366780587734827008,Israel has provided thousands of vaccines to the Palestinians. Spreading disinformation otherwise about these facts shows how normalized antisemitism has become. Combatting this trend will be one of the great challenges of our time. @Aaron_Kliegman https://t.co/fn61KIqV1y,1,0,1,0,0,0.66,0.75,0.99,0.2,0.15
18,1370499629641515008,"I was pleased to announce the opening of a new vaccination site at Crane Lakes in Volusia County which will offer 4,000 Johnson &amp; Johnson vaccines over the next four days to Floridians 65 and older as a continuation of our #SeniorsFirst strategy. https://t.co/vcSgmDeJ3U https://t.co/3cuYQuvRon",1,0,1,0,1,0.26,0.58,0.57,0.67,0.8
19,1366953572005462016,"Touch down🛬! 1.02 million life-saving COVID-19 vaccine doses arrived safely in Kenya early this morning. UNICEF procured and delivered these as part of #COVAX, a global initiative to ensure that vaccines are available to ALL countries, no matter their income. @MOH_Kenya https://t.co/hItw7tHoi9",1,0,1,0,1,0.05,0.29,0.09,0.21,0.01
20,1368622542915858432,New data from a large study of elderly U.K. adults provided further evidence that the Pfizer and AstraZeneca vaccines are highly effective against Covid-19 after just one dose https://t.co/frbBo6tGEC,1,0,1,0,1,0.9,0.27,0.49,0.23,0.12
21,1369880028599643904,"India started external supplies of Made-in-India vaccines on January 20, the minister said. Supplies are being undertaken in three ways -- grant, commercial sales by the manufacturers and through vaccine alliance GAVI's COVAX facility https://t.co/WRq7B7enzP",1,0,1,0,1,0.19,0.91,0.25,0.42,0.38
22,1363534236330917888,"The COVID-19 vaccines are safe. I’ve had mine, my mum’s had hers, and when it’s your turn, I urge you to have yours too. https://t.co/ZG1X1UEKnT",1,0,1,0,1,0.02,0.28,0.31,0.65,0.71
23,1367982412332900352,"LA County chief science officer Dr. Paul Simon: ""All three vaccines were highly effective in preventing hospitalization and death due to COVID ... Differences in reported vaccine efficacy are insignificant relative to the"" big benefits.",1,0,1,0,1,0.67,0.41,0.28,0.87,0.34
24,1354009455378181888,The COVID-19 vaccine was only made available to the public after meeting strict safety and effectiveness criteria. Vaccines work by teaching your immune system how to defend itself against attack from the virus. Read more: https://t.co/MPCevFV6SM https://t.co/ryk02jSGOR,1,0,1,0,1,0.66,0.83,0.15,0.71,0.25
25,1368473792985505792,The first round of #COVAX vaccines has arrived in #SriLanka! This is an important step in our goal to ensure equitable and fair distribution of #COVID19 #vaccines globally. Read more here: https://t.co/Itqodh6hyq #COVID19LK #COVID19SL #SriLanka #lka @GotabayaR @PresRajapaksa https://t.co/yTc8yJqz9j,1,0,1,0,1,0.78,0.35,0.84,0.31,0.08
26,1354817763336810496,"All vaccines are extensively tested before they are introduced, and this vaccine is no exception. Dr Mary Ramsay, head of immunisation at @PHE_uk, talks about the safety standards for the #COVID19 vaccine. Find out more: ▶️ https://t.co/PKVgX1hLvB https://t.co/DeokgTaBXG",1,0,1,0,1,0.74,0.79,0.79,0.72,0.39
27,1367834808353656832,"A big thank you to all partners, my technical teams and the media for making this day come to reality. It is indeed a happy day for me as we received the AstraZeneca COVID-19 Vaccines. Vaccination against COVID-19 will kick off on 10 March 2021. 📷: @bamulanzeki https://t.co/DQiEpf0o2i",1,0,1,0,1,0.65,0.61,0.35,0.82,0.32
28,1357388201388875520,"Through a clinical trial, our Dr. Van Morris and Dr. Scott Kopetz are testing personalized mRNA vaccines for colorectal cancer: https://t.co/xTQs03gkrk @VanMorrisMD @skopetz #ColorectalCancer #EndCancer",1,0,1,0,1,0.69,0.1,0.78,0.83,0.72
29,1370450657275215872,"New Jersey currently ranks #5 nationwide in percentage of #COVID19 vaccines administered, according to @BeckersHR. We’re getting shots into arms as quickly and equitably as possible, and won’t stop until everyone who wants to be vaccinated is vaccinated. https://t.co/lyai0SCImz",1,0,1,0,1,0.97,0.6,0.31,0.29,0.19
