,raw_idx,tweet_id,tweet_text,verifiable,verifiable_numeric,false_info,false_info_numeric,interest_to_public,interest_to_public_numeric,general_harm,general_harm_numeric,attention_to_fact_check,attention_to_fact_check_numeric,weighted_score
0,318,1370515647990542336,"All ""covid"" vaccines will continue to cause adverse effects immediately soon after or sometime in the near future post-vaccination and in some cases kill which has already been proven to have taken place. There was no need for a vaccine/s for something not proven to exist.",1,0.9981438483331384,1,0.9567978055981324,1,0.988803780677402,1,0.2402210993625633,1,0.8700085375766093,4.053975071547845
10,333,1369527438623920128,"HIV - 40 years of research, no vaccine. Cancer - Over 100 years of research, no vaccine Common cold - Over 200 years of research, no vaccine COVID-19 - 6 months research, vaccine approved. Both Pfizer and Moderna vaccine are mRNA vaccines. mRNA has been trialled as a 1/2",1,0.998943655838294,1,0.5702424564115022,1,0.9209460330149392,1,0.9561394003148732,1,0.43589881257227436,3.8821703581518827
1,300,1369278293405556736,"Last April the President of the EC said the vaccine would be a ‘universal, common good’. But since then The EU has fought tooth and nail to defend patents on COVID vaccines and medicines. Read the horror story about the EU’s global role. #TRIPSwaiver https://t.co/g9XQt4nlRD https://t.co/kP3Um2im6e",1,0.932836720056905,1,0.017982646973480954,1,0.9646458445115824,1,0.9354723772017184,1,0.9105453552247986,3.7614829439684856
6,163,1235760705741127680,"I work with a mat salleh boss and every time he hears someone sneezes or coughs he would ask them to go back immediately, or work from home. The thing about us Asians is, we always think RAJINNYA DTG KERJA WALAUPUN SAKIT SO MUCH DEDICATION BUT NO YOU'RE JUST SPREADING GERMS.....",1,0.24663766392000563,1,0.8060896033684423,1,0.7626203914736482,1,0.9843385486649068,1,0.9594476423054252,3.7591338497324283
7,52,1368633449670733824,"I've been saying this to Forrester clients and stakeholders for about six months. &gt;&gt; Russians Mount Campaign Against Vaccines, U.S. Says https://t.co/bNhbbOBHY4",1,0.921554597636666,1,0.205491463644059,1,0.7930555781203874,1,0.9304143713277908,1,0.8597725358255555,3.7102885465544584
2,90,1369488602023956480,"we have 1.3 million vaccine doses, but only 100k have been given. Some states are lagging badly and now not sharing data QLD only gave 22% of doses they got last week, VIC just 30%. Latest federal stats only show vaccines given, not number delivered https://t.co/30k5PbKBl3 https://t.co/oUDQ5DAkmb",1,0.9829567251393736,1,0.03836735534114,1,0.8208402094916932,1,0.9354927309983856,1,0.9253489358336934,3.703005956804286
3,153,1368720629898354688,Political figures in the state have said over the last month that Montana isn’t getting its fair share of COVID-19 vaccines. MTPR’s Aaron Bolton dug into those claims and shared his reporting with News Director Corin Cates-Carney. #mtnews #mtpol https://t.co/zwlGMcTNwt https://t.co/i5D4LBb1rD,1,0.9591699111696422,1,0.0463574843080552,1,0.8628266212585468,1,0.9200201245853684,1,0.9078239491912644,3.696198090512877
23,244,1358119265774280704,#COVID19 vaccines are safe for people living with HIV! Find out about COVID-19 vaccines and HIV here 👇🏾,1,0.8831450831604654,1,0.45573671737959365,1,0.8467327999391433,1,0.559904852140073,1,0.9285120651119616,3.674031517731237
82,321,1369787776602955520,"Add to @POTUS's to-do list: ✔️Empower scientists to independently determine if COVID vaccines are safe and effective ✔️Ensure transparency and accountability for US vaccine development funding ✔️Guarantee all vaccines are affordable, so governments can provide it for free (1/3)",1,0.9246976580368592,1,0.41052158382009707,1,0.9733127563903796,1,0.4102848691401182,1,0.9175072468265366,3.6363241142139904
4,459,1370653695931789312,"Reports of Deaths After COVID Vaccines Up by 259 in 1 Week, CDC Data Show Data released today by the Centers for Disease Control and Prevention (CDC) on the number of injuries and deaths reported to the Vaccine Adverse Event Reporting System (VAERS) fol… https://t.co/Iht6Abcg8a",1,0.995904372953678,1,0.9338381188890904,1,0.9811364935385296,1,0.019216654744426243,1,0.7026007667172983,3.6326964068430225
18,422,1370133178925510656,"One year ago today @WHO declared COVID-19 a global pandemic. For 365 days Americans worked hard to keep their communities safe from the virus. With vaccines and economic relief on the way, those communities are finally getting the help they deserve from their government.",1,0.8954276070867379,1,0.595799400430593,1,0.8695226683320767,1,0.3207971309290817,1,0.947023033713576,3.6285698404920654
17,155,1370094208036466688,"In addition to 7.5 billion, 6 billion for “research, development, manufacturing, production, and the purchase of vaccines (1) SARS–CoV–2 or any viral variant mutating therefrom with pandemic potential; and (2) COVID–19 or any disease with potential for creating a pandemic.",1,0.8027301321438471,1,0.7188708660634007,1,0.957122716742145,1,0.26481450509368143,1,0.8711402251188678,3.6146784451619416
13,132,1369257672613236736,"Some government agencies, like the CDC and the National Institutes of Health, have sought out Black churches to spread positive messages to African American communities about the Covid-19 vaccines' safety or to help with the logistics of vaccinations. https://t.co/XDO3oASl8E",1,0.8423995845126707,1,0.22428148417162552,1,0.984045756055954,1,0.5824920650260105,1,0.9778520192612355,3.6110709090274966
9,494,1235950178789723904,Panic buying is a symptom of a dysfunctional society diseased with individualism  To those with litres of soap at home- do you realise that to slow the transmission of COVID-19 you need other people to be cleaning their hands too?!  A fortress of toilet paper will not protect you,1,0.9499731997822966,1,0.8704262028768498,1,0.8401178341753534,1,0.08915963960410622,1,0.8214236123055955,3.571100488744201
28,461,1369901108366343936,"@EMA_News Choose not to respond to this letter from February 18th, and now saying nothing wrong with Astrazeneca vaccines. They will be severly punished. If the truth gets out there is nowhere to hide. https://t.co/lHXl0WK8xO",1,0.3818453277109315,1,0.5142247846719381,1,0.8548103054874269,1,0.9620851410376632,1,0.8531282200810572,3.566093778989017
31,123,1368961935916597248,"FTA: Folks fully vaccinated can now “Skip quarantine and testing if exposed to someone who has Covid-19 but are asymptomatic, but should monitor for symptoms for 14 days”. This will help tremendously with school staff shortages thanks to Ky prioritizing school staff for vaccines!",1,0.6660032750633043,1,0.6405817277635041,1,0.8836211279741224,1,0.4068229396022649,1,0.9666664554395704,3.5636955258427663
14,297,1236675730496339968,"Hospital Sungai Buloh will soon to be COVID-19 centre. May this effort be a paradigm for a better precaution to all Malaysians. We're arranging beds 100% for COVID-19 patients, &amp; re-distributing in-House patients to other Tertiary Hospital/District Hosp for continuation of care.",1,0.9886734961584578,1,0.7151585418755562,1,0.8611482834987305,1,0.16884209416651375,1,0.8217026173796483,3.555525033078907
8,400,1370364731354009600,"Thousands of people dying from COVID every day around the world Large outbreaks elsewhere breeding ground for new variants And we are sitting on tens of millions of AZ vaccines that at this point, I'm pretty sure we'll never use Time to give them away https://t.co/DvYjvHJAW4",1,0.8065603735937015,1,0.9415820899891896,1,0.775347516589537,1,0.05361460944263696,1,0.9725987246674428,3.5497033142825076
21,63,1368865615600041984,"In Western Ja only, 8 killed in one day. This cannot be true. A crime problem completely out of control and a world-leading COVID-19 crisis, and to date no vaccines. #LetThatSinkIn Eight killed across western Jamaica on Saturday https://t.co/B9gNZWNO4P via @JamaicaObserver",1,0.8549084288240469,1,0.3271981028411043,1,0.8942264110977216,1,0.5052532553915885,1,0.9646832446161542,3.5462694427706154
5,427,1369295277589475328,"Over 20 drug companies have written to Biden to reject a proposal from India and S Africa before the WTO to temporarily waive patents to try to widen access to Covid-19 medicines and vaccines to largely low-income countries. UK, US, EU are already against https://t.co/ITGJHvqMBV",1,0.9765021803191428,1,0.027134005850704357,1,0.9969267966510053,1,0.6535435217197402,1,0.8909015570288623,3.5450080615694555
25,284,1369565744095191040,"The Government has failed to source extra vaccines from other EU countries or the UK, and has no plans to seek extra supplies from outside the EU https://t.co/mzGkq8ZCJ1 via @IrishTimes",1,0.9814964324516864,1,0.33468932851028765,1,0.8196617235982987,1,0.5583118031613632,1,0.8465863787147158,3.5407456664363517
19,263,1242476408896507904,"My fellow citizens,   THERE IS ABSOLUTELY NO NEED TO PANIC.  Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.  Together, we will fight COVID-19 and create a healthier India.   Jai Hind!",1,0.9546518905531224,1,0.5137869538238602,1,0.8789007522234067,1,0.2426263245584398,1,0.941375478616577,3.531341399775406
11,256,1370007258290003968,"Seven European countries: Denmark, Norway, Austria, Estonia, Latvia, Lithuania and Luxembourg, have suspended the use of AstraZeneca vaccines from a 1M doses batch sent to 17 European countries over concerns relating to blood clots. https://t.co/TffQ5SyHaB",1,0.938545467414606,1,0.08962926457184439,1,0.9274514023176073,1,0.6089259229522073,1,0.96315633994296,3.527708397199225
